iter	Passed	Remaining
764	12144	3730
765	12158	3714
766	12170	3697
767	12184	3680
768	12197	3663
769	12209	3647
770	12223	3630
771	12237	3614
772	12251	3597
773	12264	3581
774	12279	3564
775	12292	3548
776	12304	3531
777	12318	3514
778	12330	3498
779	12344	3481
780	12359	3465
781	12372	3449
782	12386	3432
783	12400	3416
784	12414	3400
785	12429	3384
786	12445	3368
787	12461	3352
788	12476	3336
789	12492	3320
790	12504	3304
791	12518	3287
792	12532	3271
793	12543	3254
794	12556	3237
795	12571	3221
796	12586	3205
797	12599	3189
798	12612	3172
799	12626	3156
800	12640	3140
801	12655	3124
802	12668	3107
803	12684	3092
804	12698	3076
805	12712	3059
806	12726	3043
807	12745	3028
808	12767	3014
809	12788	2999
810	12811	2985
811	12835	2971
812	12861	2958
813	12885	2944
814	12907	2929
815	12927	2915
816	12949	2900
817	12970	2885
818	12990	2870
819	13012	2856
820	13030	2841
821	13044	2824
822	13058	2808
823	13071	2791
824	13084	2775
825	13096	2758
826	13109	2742
827	13122	2725
828	13136	2709
829	13150	2693
830	13165	2677
831	13178	2661
832	13192	2644
833	13206	2628
834	13219	2612
835	13232	2595
836	13246	2579
837	13260	2563
838	13274	2547
839	13287	2530
840	13302	2515
841	13316	2498
842	13329	2482
843	13344	2466
844	13359	2450
845	13374	2434
846	13387	2418
847	13401	2402
848	13415	2386
849	13429	2369
850	13444	2353
851	13458	2337
852	13472	2321
853	13486	2305
854	13501	2289
855	13516	2273
856	13531	2257
857	13545	2241
858	13559	2225
859	13573	2209
860	13587	2193
861	13601	2177
862	13615	2161
863	13629	2145
864	13643	2129
865	13658	2113
866	13676	2098
867	13693	2082
868	13708	2066
869	13722	2050
870	13737	2034
871	13754	2019
872	13772	2003
873	13792	1988
874	13809	1972
875	13825	1957
876	13840	1941
877	13855	1925
878	13871	1909
879	13885	1893
880	13898	1877
881	13913	1861
882	13926	1845
883	13940	1829
884	13951	1812
885	13965	1796
886	13980	1780
887	13991	1764
888	14003	1748
889	14016	1732
890	14027	1716
891	14039	1699
892	14052	1683
893	14069	1668
894	14087	1652
895	14106	1637
896	14125	1621
897	14142	1606
898	14158	1590
899	14173	1574
900	14190	1559
901	14206	1543
902	14225	1528
903	14240	1512
904	14258	1496
905	14274	1480
906	14293	1465
907	14315	1450
908	14338	1435
909	14357	1419
910	14376	1404
911	14396	1389
912	14416	1373
913	14431	1357
914	14448	1342
915	14464	1326
916	14478	1310
917	14492	1294
918	14507	1278
919	14521	1262
920	14534	1246
921	14548	1230
922	14561	1214
923	14575	1198
924	14589	1182
925	14603	1167
926	14616	1151
927	14631	1135
928	14645	1119
929	14658	1103
930	14671	1087
931	14685	1071
932	14699	1055
933	14713	1039
934	14726	1023
935	14740	1007
936	14754	992
937	14769	976
938	14782	960
939	14795	944
940	14810	928
941	14822	912
942	14836	896
943	14849	880
944	14864	865
945	14876	849
946	14889	833
947	14904	817
948	14917	801
949	14931	785
950	14944	769
951	14956	754
952	14970	738
953	14984	722
954	14999	706
955	15013	691
956	15030	675
957	15053	659
958	15074	644
959	15096	629
960	15116	613
961	15137	597
962	15160	582
963	15184	567
964	15203	551
965	15217	535
966	15232	519
967	15245	503
968	15259	488
969	15273	472
970	15290	456
971	15304	440
972	15317	425
973	15331	409
974	15344	393
975	15364	377
976	15386	362
977	15409	346
978	15433	331
979	15455	315
980	15479	299
981	15498	284
982	15521	268
983	15542	252
984	15561	236
985	15575	221
986	15592	205
987	15610	189
988	15626	173
989	15640	157
990	15655	142
991	15668	126
992	15682	110
993	15695	94
994	15709	78
995	15723	63
996	15737	47
997	15750	31
998	15763	15
999	15776	0
